17:30:46.122 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [springboot.EsApplicationTests], using SpringBootContextLoader
17:30:46.127 [main] INFO  o.s.t.c.support.AbstractContextLoader - Could not detect default resource locations for test class [springboot.EsApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
17:30:46.189 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
17:30:46.216 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@6a4f1a55, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@7dfd3c81, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@2584b82d, org.springframework.test.context.support.DirtiesContextTestExecutionListener@7bbc8656, org.springframework.test.context.transaction.TransactionalTestExecutionListener@6933b6c6, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@7d3e8655, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@7dfb0c0f, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@626abbd0, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@169bb4dd, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@1f9e9475, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@3aa078fd, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@d23e042]
17:30:46.673 [main] INFO  springboot.EsApplicationTests - Starting EsApplicationTests on DESKTOP-MEP5RES with PID 15988 (started by best in E:\workspacenew\springboot\module\elasticsearch)
17:30:46.673 [main] INFO  springboot.EsApplicationTests - The following profiles are active: dev
17:30:46.816 [main] INFO  o.s.w.c.s.GenericWebApplicationContext - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@63cd604c: startup date [Wed Jun 27 17:30:46 CST 2018]; root of context hierarchy
17:30:46.908 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 5.3.5.Final
17:30:47.126 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
17:30:47.141 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
17:30:47.169 [main] INFO  o.s.b.f.s.DefaultListableBeanFactory - Overriding bean definition for bean 'dataSource' with a different definition: replacing [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.boot.autoconfigure.jdbc.DataSourceConfiguration$Dbcp; factoryMethodName=dataSource; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/boot/autoconfigure/jdbc/DataSourceConfiguration$Dbcp.class]] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.boot.autoconfigure.jdbc.DataSourceConfiguration$Tomcat; factoryMethodName=dataSource; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/boot/autoconfigure/jdbc/DataSourceConfiguration$Tomcat.class]]
17:30:48.790 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Building JPA container EntityManagerFactory for persistence unit 'default'
17:30:48.843 [main] INFO  o.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
